가구고유번호,소비지출,지출_소비지출_식료품_외식비,지출_소비지출_주거비,지출_소비지출_교육비_보육료포함,지출_소비지출_의료비,지출_소비지출_교통비,지출_소비지출_통신비,지출_소비지출_경조비및기타소비지출
17600101,0,0,0,0,0,0,0,0
17600121,0,0,0,0,0,0,0,0
17600131,0,0,0,0,0,0,0,0
17600141,0,0,0,0,0,0,0,0
17600151,0,0,0,0,0,0,0,0
17600161,0,0,0,0,0,0,0,0
17600191,0,0,0,0,0,0,0,0
17600301,0,0,0,0,0,0,0,0
17600311,0,0,0,0,0,0,0,0
17600331,0,0,0,0,0,0,0,0
17600341,0,0,0,0,0,0,0,0
17600351,0,0,0,0,0,0,0,0
17600361,414,55,85,0,180,24,30,40
17600371,596,120,60,0,24,144,48,200
17600381,6000,1800,600,2000,500,200,200,700
17600391,0,0,0,0,0,0,0,0
18200111,2027,600,190,960,5,120,72,80
18200121,3350,1800,320,0,30,140,360,700
18200201,1155,240,144,480,15,120,120,36
18200221,574,156,180,0,60,36,10,132
18200241,2360,1080,360,360,50,120,100,290
18200281,2670,720,180,600,20,100,420,630
18200291,731,240,228,0,120,10,18,115
18200311,2040,400,140,600,100,200,200,400
18201111,2552,840,1016,0,72,48,216,360
18201171,1612,920,276,0,65,48,113,190
18201181,244,120,67,0,25,10,12,10
18201321,5310,600,456,2600,250,300,264,840
18201371,2199,480,165,0,80,24,70,1380
18201381,682,65,180,120,2,183,74,58
18201391,1134,600,50,0,60,120,204,100
18202131,587,120,300,0,12,20,15,120
18202171,449,240,85,0,20,12,12,80
18202181,2052,900,156,200,50,180,116,450
18202301,3170,1000,200,480,180,260,200,850
18202311,4044,840,360,1200,60,480,264,840
18202371,2348,600,120,560,10,552,216,290
18202381,2084,360,720,0,200,60,144,600
18202391,2276,1440,270,156,120,36,54,200
18203121,2050,600,600,0,120,180,300,250
18203161,2350,500,540,0,50,240,300,720
18203181,2410,240,450,360,600,360,340,60
18203191,3080,800,480,1200,30,240,180,150
18203311,0,0,0,0,0,0,0,0
18203321,0,0,0,0,0,0,0,0
18203341,0,0,0,0,0,0,0,0
18203361,0,0,0,0,0,0,0,0
18203371,2720,720,880,0,200,200,120,600
18203381,6880,1200,720,1500,60,800,450,2150
18203391,2030,120,180,0,50,360,60,1260
18500151,0,0,0,0,0,0,0,0
18500181,0,0,0,0,0,0,0,0
18500211,0,0,0,0,0,0,0,0
18500221,0,0,0,0,0,0,0,0
18500231,0,0,0,0,0,0,0,0
18500241,0,0,0,0,0,0,0,0
18502301,2308,600,168,0,60,600,180,700
18502311,1400,720,120,0,20,180,120,240
18502321,2874,480,246,0,1200,408,420,120
18502341,1920,400,400,360,60,190,150,360
18502351,1863,600,251,320,24,200,108,360
18502361,6336,1200,276,1400,2000,400,360,700
18502371,4870,700,290,3000,30,200,250,400
18502381,280,120,60,0,50,10,20,20
18600101,0,0,0,0,0,0,0,0
18600121,2210,840,840,0,200,100,100,130
18600131,8440,1000,2000,2500,100,300,240,2300
18600141,0,0,0,0,0,0,0,0
18600151,1709,240,530,0,144,360,195,240
18600161,0,0,0,0,0,0,0,0
18600311,0,0,0,0,0,0,0,0
18600321,0,0,0,0,0,0,0,0
18600331,0,0,0,0,0,0,0,0
18600341,0,0,0,0,0,0,0,0
18600361,2241,840,84,0,70,78,219,950
18600371,1418,600,600,0,0,24,144,50
18600381,0,0,0,0,0,0,0,0
19200101,1636,240,300,0,96,360,480,160
19200121,1300,360,240,0,100,160,240,200
19200141,840,320,180,0,0,120,120,100
19200151,2440,600,720,0,100,600,240,180
19200161,1586,360,260,0,720,120,96,30
19200221,1130,240,180,0,120,240,150,200
19200251,3310,840,240,450,200,400,280,900
19200261,6600,2000,360,1600,60,1200,300,1080
19200271,2784,720,240,400,60,500,264,600
19200291,2256,720,144,0,360,360,252,420
19200331,2856,1320,576,0,160,240,200,360
19200341,674,360,160,12,24,24,72,22
19200361,447,120,120,0,60,9,18,120
19200391,1930,400,300,300,100,300,30,500
19201161,1910,600,120,0,600,360,120,110
19201191,1994,600,264,0,120,240,360,410
19201301,1665,360,84,480,155,66,240,280
19201341,4076,720,204,900,300,852,340,760
19201361,670,240,335,0,5,29,31,30
19201391,884,300,104,0,40,48,192,200
19202111,1260,360,360,0,200,80,90,170
19202151,0,0,0,0,0,0,0,0
19202341,1986,720,180,0,40,240,156,650
19203151,6500,2400,800,500,1200,400,400,800
19203301,1844,600,240,0,60,360,144,440
19203311,1106,480,420,0,50,30,36,90
19203331,752,180,480,0,24,12,36,20
19203341,2440,1000,500,0,30,500,120,290
19203381,7080,2400,960,1400,240,700,180,1200
19500131,3120,720,1200,240,120,360,240,240
19500141,1722,360,600,0,10,188,184,380
19500151,3225,700,610,1260,25,190,250,190
19500181,1920,360,840,0,0,120,120,480
19500191,0,0,0,0,0,0,0,0
19500291,0,0,0,0,0,0,0,0
19502351,0,0,0,0,0,0,0,0
